name, manufacturer, domains, description, web_site
Matrice 350 RTK, DJI Enterprise, Vol à vue, "Drone aérien pour la surveillance et l'inspection avec caméra thermique avancée.", https://enterprise.dji.com/matrice-350-rtk
Anafi AI, Parrot, Vol à vue, "Drone aérien léger avec capacités de zoom pour des opérations de reconnaissance.", https://www.parrot.com/us/drones/anafi-ai
eBee X, AgEagle , Troposphérique, "Drone aérien conçu pour surveiller et gérer les cultures agricoles.", https://ageagle.com/drones/ebee-x/
Trinity F90+, Quantum Systems, Troposphérique, "VTOL aérien pour la surveillance et la cartographie à longue portée. (VTOL = décollage et atterrissage verticaux)", https://quantum-systems.com/trinity-f90/
Lilium Jet, Lilium, Troposphérique, "Aéronef électrique pour le transport urbain avec capacités VTOL (décollage et atterrissage verticaux).", https://lilium.com/jet
Bell APT, Bell, Troposphérique, "Drone aérien VTOL pour la logistique et la livraison, capable de transporter des charges importantes sur de courtes et moyennes distances. (VTOL = décollage et atterrissage verticaux)", https://www.bellflight.com/products/bell-apt
Husky, Clear Path Robotics, Roulant, "Robot terrestre autonome pour la recherche et l'inspection.", https://clearpathrobotics.com/husky-unmanned-ground-vehicle-robot/
Black Hornet PRS, Teledyne Flir, Vol à vue, "Nano-drone aérien pour la reconnaissance militaire et la surveillance.", https://www.flir.com/products/black-hornet-prs/
Spot, Boston Dynamics, Appendiculaire, "Robot terrestre pour l'inspection et la cartographie de terrains difficiles.", https://bostondynamics.com/products/spot/
Dolphin 1, Oceanα, De surface, "Véhicule marin sans pilote pour la surveillance et le sauvetage.", https://www.oceanalpha.com/product-item/dolphin1/
Blueye Pioneer, Blueye, Pélagique, "Drone sous-marin pour les inspections et observations marines.", https://www.blueyerobotics.com/products/pioneer
DTG3, Deep Trekker, Pélagique, "ROV sous-marin pour les inspections sous-marines et la recherche.", https://www.deeptrekker.com/products/underwater-rov/dtg3-b
Phantom 4 RTK, DJI Enterprise, Vol à vue, "Drone aérien pour la cartographie et la photogrammétrie de précision.", https://enterprise.dji.com/phantom-4-rtk
Vector, Quantum Systems, Troposphérique, "VTOL aérien pour les opérations de surveillance discrètes.", https://quantum-systems.com/vector/
Anafi Thermal, Parrot, Troposphérique, "Drone aérien avec caméra thermique pour les opérations de recherche et de sauvetage.", https://www.parrot.com/en/drones/anafi-thermal
PackBot 510, Teledyne Flir, Chenillé, "Robot terrestre pour la reconnaissance, surveillance et interventions en zones dangereuses.", https://www.flir.com/products/packbot/
PowerEgg X, PowerVision, Vol à vue&De surface, "Drone multifonctionnel capable de suivi par intelligence artificielle, d'enregistrement 4K et d'opérations étanches dans les aires et sur l'eau.", https://www.powervision.me/en/product/powereggx/





