name, description, unit
Poids, "Masse totale du produit", kg
Longueur, "Dimension la plus longue du produit", m
Largeur, "Dimension la plus large du produit", m
Hauteur, "Dimension verticale du produit", m
Volume, "Espace total occupé par le produit", m³
Densité, "Masse par unité de volume", kg/m³
Résistance, "Capacité du matériau à résister à une force extérieure", N/mm²
Température opération maximum, "Température maximale de fonctionnement du produit", °C
Température opération minimum, "Température minimale de fonctionnement du produit", °C
Durée de vie, "Durée estimée du bon fonctionnement du produit", h
Voltage, "Tension électrique pour le fonctionnement", V
Courant, "Courant électrique nominal", A
Puissance, "Énergie consommée ou produite par heure", W
Fréquence, "Fréquence d'opération pour les produits électroniques", Hz
Épaisseur, "Mesure de la dimension la plus fine du produit, souvent pour des plaques ou feuilles", mm
Diamètre, "Distance à travers le cercle, utile pour les objets cylindriques", mm
Tolérance, "Écart maximum admissible par rapport à une valeur nominale", mm
RPM, "Vitesse de rotation pour des pièces mécaniques, comme les moteurs", rpm
Isolation, "Niveau de résistance à la conduction d'électricité ou de chaleur", Ω
Humidité d'opération, "Plage d'humidité dans laquelle le produit fonctionne de manière optimale", %
Pression d'opération, "Plage de pression pour les produits fonctionnant sous certaines atmosphères", Pa
Conductivité, "Capacité du matériau à conduire l'électricité", S/m
Rendement, "Proportion de l'énergie d'entrée convertie en travail utile", %
Cycle, "Cycle de travail pour des machines fonctionnant en cycles intermittents", %
Étanchéité, "Capacité à empêcher la pénétration de liquides ou de gaz", -
Cycles de vie, "Nombre de cycles d'opération avant une défaillance prévue", cycle
Bruit, "Niveau sonore produit pendant le fonctionnement", dB
Charge maximum, "Poids maximum que le produit peut soutenir ou transporter", kg
Portée, "Distance maximale depuis la base jusqu'à l'extrémité du robot", mm
Répétabilité, "Précision avec laquelle le robot peut retourner à une position spécifiée", mm
Vitesse axiale, "Vitesse maximale d'un axe spécifique", deg/s
Accélération axiale, "Accélération maximale d'un axe spécifique", deg/s²
Nombre d'axes, "Nombre de degrés de liberté du robot", axes
Environnement, "Conditions pour lesquelles le robot est conçu (standard, salle blanche, dangereux...)", -
Système de contrôle, "Type de système de contrôle utilisé pour opérer le robot", -
Interface usager, "Moyens par lesquels l'opérateur interagit avec le robot", -
Alimentation électrique, "Énergie nécessaire pour le fonctionnement du robot", V
Source air comprimé, "Besoin en air comprimé pour certaines fonctions", bar
Consommation, "Énergie consommée pendant le fonctionnement", kWh
Espace installation, "Dimension au sol requise pour l'installation", m²
Protocole de communication, "Protocoles utilisés pour la communication avec d'autres équipements", -
Autonomie d'opération, "Durée d'opération sur une seule charge de batterie", min
Vitesse maximum, "Vitesse maximale que le drone peut atteindre", m/s
Altitude maximum, "Altitude maximale à laquelle le drone peut opérer", m
Profondeur maximum, "Profondeur Altitude maximale à laquelle le drone peut opérer", m
Portée de communication, "Distance maximale du contrôleur à laquelle le drone peut fonctionner", km
Stabilisation image, "Type de stabilisation utilisé pour la caméra (électronique, mécanique...)", -
Résolution caméra, "Résolution de l'appareil photo du drone", MP
Résolution vidéo, "Qualité de la vidéo que le drone peut enregistrer", MP
Capacité stockage, "Espace disponible pour stocker des photos et vidéos", GB
Mode vol, "Modes de vol automatiques disponibles (suivi, point d'intérêt...)", -
Nombre de capteurs, "Indique le nombre de capteurs embarqués", -
Capteurs, "Types de capteurs embarqués (thermique, sonar, LIDAR...)", -
Résistance au vent, "Capacité à opérer malgré la force des vents", m/s
Résistance à l'eau, "Capacité à opérer sous l'eau ou dans des conditions humides", -
Mode communication, "Méthode de communication (Wi-Fi, radiofréquence, 4G...)", -
Charge utile maximum, "Poids maximum d'équipement supplémentaire que le drone peut transporter", kg
Système de navigation, "Comment le drone se repère (GPS, vision par ordinateur, sonar...)", -
Précision de positionnement, "La précision à laquelle le drone se repère.", cm
Vitesse maximum terrestre, "Vitesse maximale sur le sol", km/h
Profondeur opérationnelle, "Profondeur maximale à laquelle le drone aquatique peut opérer", m
Flottabilité, "Capacité du drone aquatique à rester à une profondeur spécifiée", -
Moteurs, "Nombre et type de moteurs", -
Temps de charge, "Temps nécessaire pour recharger la batterie", h
Système anticollision, "Technologie utilisée pour éviter les obstacles en vol ou en mouvement", -
Mode retour, "Fonctionnalité permettant au drone de revenir automatiquement à un point de départ", -
Plage de température opérationnelle, "Plage de températures dans laquelle le drone peut fonctionner de manière optimale", °C
Autonomie en veille, "Durée pendant laquelle le drone peut rester allumé sans voler ou bouger", h
Type de propulsion, "Mécanisme de propulsion (hélices, roues, jets d'eau...)", -
Connectivité, "Types de connexions prises en charge (Bluetooth, Wi-Fi Direct, LTE...)", -
Support de carte mémoire, "Type de carte mémoire externe supporté (SD, microSD...)", -
Champ vision caméra, "Angle de vision de la caméra embarquée", FOV
Zoom optique, "Capacités de zoom de la caméra, si disponible", x
Stabilisation gimbal, "Axes de stabilisation pour le gimbal de la caméra", axes
Système d'exploitation, "Système d'exploitation logicielle embarqué", -
Logiciel embarqué, "Outil logiciel disponible embarqué sur le drone", -
Modes pilotage, "Différents modes de contrôle (manuel, automatique, programmé...)", -
Nombre de passagers, "Nombre de passagers de taille et poids standards", -
Certification, "Certification autorisée par un organisme gouvernemental ou indépendant", -
Brouillage, "Résistance aux interférences ou au brouillage électronique", -
Compatibilité logicielle, "Logiciels ou applications avec lesquels le drone est compatible", -
Mode décollage-atterrissage, "Modes de décollage et d'atterrissage (manuel, automatique)", -
Type batterie, "Technologie de la batterie utilisée (LiPo, NiMH, Li-Ion...)", -
Divers, "Autres caractéristiques notables du drone", -'));
